id,name,country,manufacturer,propellant,cycle,thrust,specificImpulse,description,usedBy,imageUrl,restartCount,weight,twRatio,throttleRange,gimbalAngle,clustering,neededFor750t,neededFor7500t,createdAt,updatedAt
227,Raptor 2,美国,SpaceX,液氧 / 甲烷,全流量分级燃烧循环,2260 kN (海平面),327 s (海平面),SpaceX星舰使用的第二代全流量分级燃烧循环发动机，推力大幅提升，结构更简化。,Starship (星舰),,多次,1630 kg,,40% - 100%,,,,,1/7/26,1/7/26
228,Merlin 1D++,美国,SpaceX,液氧 / 煤油,燃气发生器循环,845 kN (海平面) / 981 kN (真空),282 s (海平面) / 311 s (真空),猎鹰9号的主力发动机，拥有极高的推重比和可靠性，支持多次重复使用。,Falcon 9 (猎鹰9号),,多次,470 kg,,57% - 100%,,,,,1/7/26,1/7/26
229,YF-209,中国,航天六院,液氧 / 甲烷,燃气发生器循环,780 kN (真空),未公开,航天六院发布的商业液氧甲烷发动机，专为重复使用运载火箭设计，支持深度变推。,商业可重复使用火箭,,≥3次,,,27% - 108%,±8°,,,,1/7/26,1/7/26
230,YF-215,中国,航天六院,液氧 / 甲烷,全流量分级燃烧循环,2000 kN (海平面),327 s (海平面),中国研制的200吨级全流量分级燃烧循环液氧甲烷发动机，将作为长征九号的主动力。,长征九号 (CZ-9),,多次,,,25% - 110%,,,,,1/7/26,1/7/26
231,YF-100K,中国,航天六院,液氧 / 煤油,高压补燃循环,1250 kN (海平面),301.8 s (海平面),基于YF-100改进的泵后摆发动机，结构紧凑，推力提升，是中国新一代载人火箭的主动力。,"长征十号, 长征十二号",,1次,1900 kg (估),,65% - 105%,±8°,,,,1/7/26,1/7/26
232,YF-102,中国,航天六院,液氧 / 煤油,燃气发生器循环,835 kN (海平面),275 s (海平面),航天六院发布的80吨级开式循环商业发动机，已成功应用于天龙二号首飞。,天龙二号,,多次,,,55% - 100%,±6°,,,,1/7/26,1/7/26
233,TQ-12A,中国,蓝箭航天,液氧 / 甲烷,燃气发生器循环,720 kN (海平面) / 836 kN (真空),2840 m/s (海平面),天鹊-12的改进型，推力和比冲提升，支持多次启动和推力调节，用于朱雀二号改进型。,朱雀二号 (ZQ-2),,多次,<1000 kg,,60% - 110%,±8°,,,,1/7/26,1/7/26
234,TQ-12B,中国,蓝箭航天,液氧 / 甲烷,燃气发生器循环,1000 kN (海平面),285 s (海平面),天鹊-12系列的深度改进型，推力达到100吨级，专为大型可重复使用火箭朱雀三号设计。,朱雀三号 (ZQ-3),,多次,,,50% - 110%,,,,,1/7/26,1/7/26
235,TH-12,中国,天兵科技,液氧 / 煤油,燃气发生器循环,1100 kN (海平面),285 s (海平面),天火-12，国内首款110吨级大推力液氧煤油火箭发动机，对标Merlin 1D，用于天龙三号。,天龙三号 (TL-3),,多次,,,50% - 110%,±8°,,,,1/7/26,1/7/26
236,TH-12V,中国,天兵科技,液氧 / 煤油,燃气发生器循环,约 1200 kN (真空),335 s (真空),天火-12的真空版，用于天龙三号的二级推进。,天龙三号 (二级),,多次,,,40% - 100%,,,,,1/7/26,1/7/26
237,JD-2,中国,星际荣耀,液氧 / 甲烷,燃气发生器循环,850 kN (海平面),280 s (海平面),焦点二号，85吨级液氧甲烷发动机，支持深度变推和多次启动，用于双曲线三号可回收火箭。,双曲线三号 (SQX-3),,多次,,,35% - 110%,±8°,,,,1/7/26,1/7/26
238,CQ-50,中国,星河动力,液氧 / 煤油,燃气发生器循环,500 kN (海平面),282 s (海平面),苍穹-50，50吨级液氧煤油发动机，支持重复使用，将作为智神星一号的一级动力。,智神星一号 (Pallas-1),,多次,,,40% - 100%,±6°,,,,1/7/26,1/7/26
239,力擎二号,中国,中科宇航,液氧 / 煤油,燃气发生器循环,1100 kN (海平面),285 s (海平面),110吨级大推力液氧煤油发动机，采用针栓式喷注器，用于中科宇航未来的中大型火箭。,力箭系列,,多次,,,可变推,,,,,1/7/26,1/7/26
240,Yuanli-110,中国,东方空间,液氧 / 煤油,燃气发生器循环,1100 kN (海平面),285 s (海平面),原力-110，百吨级液氧煤油发动机，采用针栓技术，旨在实现低成本和可重复使用。,引力二号 (Gravity-2),,多次,,,40% - 110%,,,,,1/7/26,1/7/26
241,Thunder-RS,中国,深蓝航天,液氧 / 煤油,燃气发生器循环,1000 kN,未公开,雷霆-RS，深蓝航天研发的大推力可复用液氧煤油发动机。,星云系列,,多次,,,可变推,,,,,1/7/26,1/7/26
242,龙云,中国,九州云箭,液氧 / 甲烷,燃气发生器循环,676 kN (海平面),2842 m/s (真空),国内首款多次启动、深度变推的液氧甲烷发动机，已完成多次试车验证。,元行者一号,,≥3次,≤650 kg,,32% - 106%,±8°,,,,1/7/26,1/7/26
243,跃迁-1号,中国,大航跃迁,液氧 / 甲烷,未公开,800 kN (海平面),未公开,80吨级液氧甲烷发动机，将用于“筷子夹”回收型液体火箭跃迁一号。,跃迁一号,,多次,,,可变推,,,,,1/7/26,1/7/26
244,YS-20,中国,宇石空间,液氧 / 煤油,燃气发生器循环,200 kN (海平面),275 s (海平面),20吨级小型液氧煤油发动机，结构简单，成本低廉。,商业微型火箭,,多次,,,可变推,,,,,1/7/26,1/7/26
